Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
registerTDD,Chrome 70.0.3538.110,,2018-11-25 19:56:24,2018-11-25 19:57:21,"56,452s",PASSED
,,,,,,
Test Cases/nopCommerce/registroDDT,Chrome 70.0.3538.110,,2018-11-25 19:56:25,2018-11-25 19:56:39,"13,697s",PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-25 19:56:26,2018-11-25 19:56:32,"6,842s",PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-25 19:56:32,2018-11-25 19:56:35,"2,755s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:35,2018-11-25 19:56:36,"0,376s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:36,2018-11-25 19:56:36,"0,258s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:36,2018-11-25 19:56:36,"0,365s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:36,2018-11-25 19:56:36,"0,266s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:36,2018-11-25 19:56:37,"0,622s",PASSED
click,Chrome 70.0.3538.110,,2018-11-25 19:56:37,2018-11-25 19:56:39,"1,605s",PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-11-25 19:56:39,2018-11-25 19:56:39,"0,099s",PASSED
,,,,,,
Test Cases/nopCommerce/registroDDT,Chrome 70.0.3538.110,,2018-11-25 19:56:39,2018-11-25 19:56:48,"9,102s",PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-25 19:56:39,2018-11-25 19:56:42,"3,262s",PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-25 19:56:42,2018-11-25 19:56:45,"2,559s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:45,2018-11-25 19:56:45,"0,268s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:45,2018-11-25 19:56:45,"0,297s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:45,2018-11-25 19:56:46,"0,379s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:46,2018-11-25 19:56:46,"0,188s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:46,2018-11-25 19:56:46,"0,172s",PASSED
click,Chrome 70.0.3538.110,,2018-11-25 19:56:46,2018-11-25 19:56:48,"1,862s",PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-11-25 19:56:48,2018-11-25 19:56:48,"0,083s",PASSED
,,,,,,
Test Cases/nopCommerce/registroDDT,Chrome 70.0.3538.110,,2018-11-25 19:56:48,2018-11-25 19:56:56,"7,958s",PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-25 19:56:48,2018-11-25 19:56:51,"3,110s",PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-25 19:56:51,2018-11-25 19:56:53,"1,820s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:53,2018-11-25 19:56:53,"0,216s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:53,2018-11-25 19:56:53,"0,235s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:53,2018-11-25 19:56:54,"0,284s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:54,2018-11-25 19:56:54,"0,190s",PASSED
setText,Chrome 70.0.3538.110,,2018-11-25 19:56:54,2018-11-25 19:56:54,"0,217s",PASSED
click,Chrome 70.0.3538.110,,2018-11-25 19:56:54,2018-11-25 19:56:56,"1,796s",PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-11-25 19:56:56,2018-11-25 19:56:56,"0,067s",PASSED
,,,,,,
